feature,r,rho,p,fdr_q,fdr_significant
frontal_aperiodic_exponent,0.2434050425512819,0.16880868211941008,0.001526118823651081,0.006613181569154684,True
frontal_aperiodic_offset,0.15863158407152372,0.0894957073804199,0.04060331186482378,0.1023775534807559,False
frontal_sample_entropy,-0.20764387862904926,-0.09645253383078937,0.00708955975689093,0.023041069209895522,True
frontal_perm_entropy,-0.1945788204123529,-0.16527100703927775,0.011743579706647576,0.03516541780197828,True
posterior_aperiodic_exponent,0.11568867220469856,0.11748533913240645,0.13653961244176674,0.24204749478313195,False
posterior_aperiodic_offset,0.07247968351885663,0.07673637234996444,0.3519395314384781,0.42892630394064524,False
posterior_sample_entropy,-0.06701980321676676,-0.08365712636688757,0.38948611811559,0.4475682814517167,False
posterior_perm_entropy,-0.15100599381931396,-0.12129098086099747,0.051420282186015326,0.11796417677968221,False
central_aperiodic_exponent,0.2790548504748908,0.25837138116194464,0.0002602919065592203,0.0020302768711619183,True
central_aperiodic_offset,0.1926439477417346,0.1864017232316778,0.012623483313530665,0.03516541780197828,True
central_sample_entropy,-0.28150085418741944,-0.2471348181434034,0.00022845312473708616,0.0020302768711619183,True
central_perm_entropy,-0.21869915916589622,-0.17361919877972112,0.004519220692233459,0.017624960699710493,True
left_temporal_aperiodic_exponent,0.2532959181598976,0.2537747224999227,0.0009574229439757144,0.005334213545007552,True
left_temporal_aperiodic_offset,0.1291680700585904,0.11843352881156792,0.09618063864641052,0.19700133914775508,False
left_temporal_sample_entropy,-0.261750521705597,-0.2141646139734301,0.0006333229849673112,0.004116599402287523,True
left_temporal_perm_entropy,-0.24522487587282754,-0.22974017541509067,0.0014025952288223063,0.006613181569154684,True
right_temporal_aperiodic_exponent,0.2883010226079405,0.2477454729096025,0.00015794715109676547,0.0020302768711619183,True
right_temporal_aperiodic_offset,0.21116239703861173,0.19389190637657563,0.006157355602291058,0.02183062440812284,True
right_temporal_sample_entropy,-0.3228848226127491,-0.26272326259700907,2.0829719706930127e-05,0.000812359068570275,True
right_temporal_perm_entropy,-0.28924466963773443,-0.24752130850175724,0.00014995016650248605,0.0020302768711619183,True
occipital_aperiodic_exponent,0.0924456523666998,0.08836715553402662,0.23474106426052707,0.3156862588331226,False
occipital_aperiodic_offset,0.08374631502134189,0.09281179465509601,0.28192560961737534,0.3546806056476658,False
occipital_sample_entropy,-0.09299511614993441,-0.08244097003926742,0.23195908043916535,0.3156862588331226,False
occipital_perm_entropy,-0.15755688128972167,-0.12147907283539634,0.042001047581848576,0.1023775534807559,False
prefrontal_aperiodic_exponent,0.10292526722994827,0.04271233780287962,0.18563077976848044,0.3089247922160922,False
prefrontal_aperiodic_offset,0.0163127231359443,-0.03560091520916858,0.8342629121045052,0.8342629121045052,False
prefrontal_sample_entropy,-0.09419492444229367,-0.001636142517031342,0.22596516733089386,0.3156862588331226,False
prefrontal_perm_entropy,-0.14872095299209617,-0.13772197429581456,0.05509276104317634,0.11936764892688206,False
global_delta,-0.06692090711986318,-0.07778504952229794,0.39018773254765043,0.4475682814517167,False
global_theta,0.04264932681068373,0.06773372360270855,0.584199973001336,0.6490031098389228,False
global_alpha,0.09567469599799572,0.08058323971677987,0.21872457865243955,0.3156862588331226,False
global_beta,-0.0893728253552673,-0.08431931318086719,0.2507305550346247,0.3259497215450121,False
IAF,-0.02607504709707878,-0.036466575983140764,0.7380099544003934,0.7574312689898774,False
frontal_theta_beta_ratio,0.1273384338225906,0.0638353241881126,0.10102632776807952,0.19700133914775508,False
temporal_alpha_asymmetry,0.09493245817864293,0.08007564904614181,0.2223354688076716,0.3156862588331226,False
connectivity_delta,0.035916211052704615,0.052549805724179874,0.6449404251862931,0.6798020697909577,False
connectivity_theta,0.04097241767318016,0.07812516103764933,0.5990797936974672,0.6490031098389228,False
connectivity_alpha,0.12317217695414835,0.10319292568048069,0.11277911820734969,0.20944693381364943,False
connectivity_beta,-0.10189225095955254,-0.08086408937718367,0.19010756444067214,0.3089247922160922,False
