target,construct,r2,spearman,perm_p,n
Antisaccade,AC,0.024823197575963074,0.16023908557699743,0.014925373134328358,165
VAorient,AC,0.05405839050400607,0.19950134715456588,0.03482587064676617,165
Squared_Stroop,AC,0.026244722514964347,0.19564369305042292,0.014925373134328358,167
SART,SuS_AC,-0.04923009325773453,0.07399789006662676,0.9104477611940298,157
SACT,SuS_AC,-0.008245605391769883,0.023058906737158574,0.472636815920398,155
PVT,SuS_AC,0.02944877030979942,0.24861942156458045,0.009950248756218905,167
SymSpan,WMC,-0.01762214557966324,0.14579856737736535,0.6865671641791045,171
OSpan,WMC,-0.016898051045298956,0.007421655686488209,0.6865671641791045,160
RotSpan,WMC,0.004878923556679071,0.11431101045568295,0.24875621890547264,165
RAPM,gF,0.08831513444602357,0.3303002699916186,0.004975124378109453,170
NumberSeries,gF,0.05633296314196967,0.2719131909708362,0.004975124378109453,169
LetterSets,gF,0.016653321875275462,0.14319977417729102,0.08955223880597014,166
